x,y
6.999993666474091,-2.1722194892620768
-2.788508892058777,-1.7507177841615226e-06
-2.7885616991882767,-0.027422111611254497
-2.78851482049023,-0.05484685387462648
-2.788368594023069,-0.08227835281778881
-2.788989027738668,-0.10975306834421164
-2.7888113795892795,-0.1372219923404307
-2.788532554071536,-0.16470803853149366
-2.7881511229388214,-0.19221347123802632
-2.7893757057305675,-0.2198753098695719
-2.7889545594418426,-0.2474581431887942
-2.78842752918586,-0.27507041445008523
-2.7877942833107467,-0.3027143979377064
-2.7895884686773535,-0.3306927714548161
-2.788899706394082,-0.3584526455235913
-2.788099089424052,-0.3862537178959819
-2.7903661320312447,-0.4145706397676161
-2.7894943927839795,-0.4425171434550347
-2.78850357650667,-0.47051370806029474
-2.7873927938200223,-0.49856235416995376
-2.7901223558868082,-0.527413890359716
-2.78891499983453,-0.5556423005607604
-2.7875793980106747,-0.5839308762351837
-2.790677297122023,-0.6132842241197732
-2.7892213794908027,-0.6417779677439459
-2.7876279390249015,-0.6703391722739376
-2.791036994075084,-0.7002594607873515
-2.7892971288092148,-0.7290491634863632
-2.787408603770851,-0.7579125076655578
-2.7910642994489923,-0.7884595795027712
-2.789000575768074,-0.8175723260656744
-2.7867775714114087,-0.8467642925471569
-2.790609819061664,-0.877992499542715
-2.7881794383872505,-0.907451870793423
-2.7921730306945496,-0.9392133121812505
-2.7895118743249556,-0.9689527951224066
-2.7866707507044617,-0.9987791137371839
-2.7907080757085394,-1.0313022605730067
-2.787600822263757,-1.0614219172133819
-2.791698871392178,-1.0945315848654653
-2.7882992946344523,-1.1249534829388068
-2.792413345089593,-1.1586682628891927
-2.7886945447043154,-1.1893997585519998
-2.792780096912188,-1.223736367403908
-2.7887143158393037,-1.2547831471342266
-2.7927239049218895,-1.2897549853315542
-2.7882832674646103,-1.3211212989996635
-2.79217051049046,-1.3567401064428017
-2.7873266454726857,-1.388428580696007
-2.791044361468292,-1.424703585404323
-2.7857691125034862,-1.4567155259890383
-2.789269221168092,-1.4936532935638067
-2.7927198837607046,-1.5310242145888155
-2.7867681300647758,-1.5635929775873505
-2.789923924806198,-1.6016338531183134
-2.7929831029532917,-1.6401123275548346
-2.786278064693729,-1.6732345928800065
-2.788965668439502,-1.7123846606167195
-2.791507929360993,-1.7519722882123638
-2.793888238257093,-1.7919980008652248
-2.786068446432858,-1.8258941120298076
-2.787971575555522,-1.8665847746798108
-2.7896656822573336,-1.9077094920661464
-2.791133362310054,-1.949266442099634
-2.7923572919114874,-1.9912533465838864
-2.7933202371519523,-2.0336674737489604
-2.7940056374954523,-2.076506067605905
-2.7943964543129574,-2.1197655143887397
-2.794476897721104,-2.163442630837138
-2.794229399201129,-2.2075323580102904
-2.793639147600803,-2.2520312633329342
-2.792689576031301,-2.2969340371603892
-2.791365366225992,-2.3422358568824397
-2.7896515063993226,-2.387931669203505
-2.787532034266738,-2.4340151044019023
-2.795837333700853,-2.4901396284161126
-2.7928722892244107,-2.5371821594894874
-2.7894528744137013,-2.5845928823106337
-2.7855653742135527,-2.632365259505842
-2.7920898440573865,-2.690991594878611
-2.787210787981872,-2.739660339161365
-2.792721728527767,-2.799597759764451
-2.7873012402287953,-2.849662053555121
-2.793860688227991,-2.913126837934829
-2.789170088299611,-2.9660732563726357
-2.7847028966954346,-3.020287765736337
-2.7936943918919894,-3.0904707540731002
-2.79015958290482,-3.148242271237999
-2.7869299031392814,-3.207591024405764
-2.7840279733463413,-3.268619054933483
-2.796851158298332,-3.3498492206975743
-2.795208396032612,-3.415594128717087
-2.794001123919966,-3.483448430268353
-2.793260965290457,-3.5535573321739706
-2.7930227295499095,-3.6260794163249774
-2.793322941229011,-3.7011857852841845
-2.7942012618961733,-3.7790629740776622
-2.7957006262791637,-3.859914417547852
-2.7619371448893766,-3.8933136684506016
-2.70364492408907,-3.8916714248680346
-2.6555624773368325,-3.9038281227058897
-2.59818013785963,-3.9014172759962733
-2.541402452412131,-3.8987163445804116
-2.485230900541925,-3.8957491202523347
-2.429667351620332,-3.8925410826709075
-2.3829558700693285,-3.9026173495686565
-2.3283232935190386,-3.898825747407132
-2.274300196311504,-3.8948585478845263
-2.2283514811143346,-3.9038202191853375
-2.1752622816732763,-3.8993765426137865
-2.122780370261557,-3.894824832841367
-2.077603790567302,-3.9027778385167573
-2.0260504598952545,-3.8978569682687634
-1.9750967879441361,-3.892894832093866
-1.9306928820665135,-3.8999450181209236
-1.8806552522289306,-3.8947228929967617
-1.8366994402414654,-3.901197088411989
-1.7875660677214933,-3.895780745166985
-1.7440548219954872,-3.901717296113384
-1.695810889522657,-3.8961724777051887
-1.6527395539968501,-3.901611537499285
-1.6053669789026999,-3.8960034154769074
-1.562727989829621,-3.900982953372974
-1.5162056269011766,-3.8953764341906707
-1.473989858124692,-3.8999352038456085
-1.4282921510175801,-3.8943912375990974
-1.3864877251938283,-3.8985655755887696
-1.3448045731384033,-3.9024837184572605
-1.3001803907254206,-3.8969731835238455
-1.2588908877716933,-3.900555916110535
-1.2150203142319147,-3.895251598390622
-1.1741078651095957,-3.898533330339472
-1.13330699100233,-3.9015889546884
-1.090400819539392,-3.896504991052386
-1.0499527693435897,-3.8993051438449045
-1.009608790989815,-3.901894160347159
-0.9675933318489629,-3.897130823929368
-0.9275739983001012,-3.899505945006657
-0.8876500089835895,-3.9016840184487713
-0.8464434667834422,-3.897332912510475
-0.8068124619873498,-3.8993349074288477
-0.767267158782677,-3.9011541456744316
-0.7267807343063947,-3.897299546819814
-0.6874935119633392,-3.8989763037835306
-0.648280887514387,-3.9004816831988913
-0.6084187910032642,-3.8971965659388452
-0.5694265794442552,-3.8985888452814685
-0.5304969827085125,-3.8998202336661874
-0.4916272270236859,-3.9008930799900945
-0.4524085347449055,-3.8983116768267627
-0.4137089308696099,-3.8993021712377525
-0.37505603411291444,-3.9001418961466943
-0.3364467698963118,-3.9008320527105753
-0.29769936530359054,-3.89903356322703
-0.2592069091000031,-3.8996642833950252
-0.22074423767728218,-3.9001518226507597
-0.18224262828257104,-3.899095838261744
-0.14385232105718535,-3.8995353986655505
-0.1054774140833291,-3.8998344704037184
-0.06711462229458993,-3.899993427564132
-0.028759081250168392,-3.8997991642468954
0.009587846456825649,-3.8999177377500924
0.047937255809860975,-3.899897651254283
0.08629245538727869,-3.8997380889526685
0.12468793324091829,-3.9004144361623396
0.1630841422670789,-3.900212595160562
0.20150066095637753,-3.89986934140503
0.23994078879890984,-3.8993848153807096
0.27856163182972254,-3.9009126898052537
0.31709885068377197,-3.9003745198467694
0.3556738602283673,-3.8996907223551815
0.394289710840793,-3.8988590711462807
0.4333178672169896,-3.901194704594862
0.4720852199708538,-3.9002905962529018
0.5109068777565365,-3.8992316784473537
0.5503818652063139,-3.902242568648236
0.5893968241159262,-3.90109043504506
0.6284788798877669,-3.8997750554911876
0.6676306975044722,-3.898293901902523
0.7078210035933982,-3.9019702571661528
0.7472149411226644,-3.9003618494221786
0.7866901469596495,-3.898576321879461
0.8275585866266668,-3.90278699221002
0.8673122171919374,-3.9008423424887293
0.9071576759016295,-3.8987083711513346
0.9487970525228322,-3.9033758352983225
0.9889541575589605,-3.901046299710389
1.029212389214202,-3.898513532684939
1.0717080689522678,-3.903548960385328
1.1123080449508571,-3.900781236071965
1.1530170458795188,-3.8977947589337054
1.1964470659400905,-3.9031022310347354
1.2375242067371515,-3.899837536361796
1.281687575867254,-3.9053894823733737
1.3231511004526815,-3.901813627097919
1.3647347300300685,-3.89798989572679
1.4099490459694926,-3.9036316641361064
1.4519385592342036,-3.8994479534130133
1.497963865842602,-3.9051963236300993
1.540372583779968,-3.9006166901027655
1.5872358291406488,-3.906409035702279
1.630074521271843,-3.901395493042237
1.6730417751766355,-3.896088787104519
1.7210777561901585,-3.9016843930130083
1.7644846958533669,-3.8958911914705734
